Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6487060bd4a971f11be9992a,59d8ec713e5ea00001e1d09c,APPROVED,2023-06-12T11:50:12.265000Z,2023-06-12T12:16:58.639000Z,2023-06-12T12:22:51.292000,2023-06-12T12:17:21.634850Z,1607,CW7OPZDP,738,I only know English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648706e955af62d92fd5ea14,611c0facb9bce2c353d5279b,APPROVED,2023-06-12T11:52:25.716000Z,2023-06-12T12:22:34.686000Z,2023-06-12T12:23:02.721000,2023-06-12T12:22:35.133765Z,1809,CW7OPZDP,630,I only know English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6487070e55af62d92fd5ea2f,5d482406f0b00600163f0ea0,APPROVED,2023-06-12T12:01:47.046000Z,2023-06-12T12:27:28.534000Z,2023-06-12T12:41:57.535000,2023-06-12T12:27:33.610632Z,1542,CW7OPZDP,311,I only know English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6487072a504f0718c1768916,5ded6bf963c5794306e7b75a,APPROVED,2023-06-12T11:53:17.755000Z,2023-06-12T12:20:58.555000Z,2023-06-12T12:23:04.790000,2023-06-12T12:21:27.040696Z,1661,CW7OPZDP,215,I only know English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6487072bc527b1c861c0e61e,60df112718a096e71a345e54,APPROVED,2023-06-12T11:53:18.141000Z,2023-06-12T12:24:00.085000Z,2023-06-12T12:24:09.351000,2023-06-12T12:24:01.083949Z,1842,CW7OPZDP,83,I only know English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
64870894b83d7e75727b31d2,6005c15acef0ed86cc521eda,APPROVED,2023-06-12T11:59:23.690000Z,2023-06-12T12:26:25.767000Z,2023-06-12T12:41:51.123000,2023-06-12T12:26:26.218000Z,1623,CW7OPZDP,339,I only know English,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
648708fa2ddb791f3b1d5b58,5d13d6a2d4888600182efdd6,APPROVED,2023-06-12T12:01:02.291000Z,2023-06-12T12:28:32.502000Z,2023-06-12T12:41:53.406000,2023-06-12T12:28:43.226108Z,1651,CW7OPZDP,412,I only know English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64870905d991206b69a117a7,5c3cc6ff9135a30001f88abd,APPROVED,2023-06-12T12:01:14.430000Z,2023-06-12T12:28:02.993000Z,2023-06-12T12:41:55.500000,2023-06-12T12:28:22.257526Z,1609,CW7OPZDP,153,I only know English,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64870954e16b6315a7d5ea05,5d838710c4138c0001f73c34,APPROVED,2023-06-12T12:02:40.127000Z,2023-06-12T12:32:54.558000Z,2023-06-12T12:45:36.463000,2023-06-12T12:32:55.616944Z,1815,NOCODE,141,I only know English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64870a15c4fed739e7dd4e36,606b10aae68df3560d9843ef,APPROVED,2023-06-12T12:14:48.073000Z,2023-06-12T12:43:29.816000Z,2023-06-12T12:44:14.333000,2023-06-12T12:43:33.035635Z,1722,CW7OPZDP,635,I only know English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
64870b1613e3e4dccbc42b0a,63c553434f75911d5ec08571,APPROVED,2023-06-12T12:10:03.573000Z,2023-06-12T12:37:12.787000Z,2023-06-12T12:41:59.450000,2023-06-12T12:39:55.538743Z,1630,CW7OPZDP,81,I only know English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
64870b408577c3486ad12bb9,60def5138b12a023e5ae885c,APPROVED,2023-06-12T12:10:42.642000Z,2023-06-12T12:38:01.709000Z,2023-06-12T12:42:00.745000,2023-06-12T12:40:29.148329Z,1640,CW7OPZDP,153,I only know English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
64870c0ddfe4f0fad2e69bad,60cf09058f9a9d294c3bcc83,APPROVED,2023-06-12T12:14:13.250000Z,2023-06-12T12:47:08.542000Z,2023-06-12T13:45:29.383000,2023-06-12T12:47:09.041377Z,1976,CW7OPZDP,144,I only know English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64870c92b44c7981272c52da,6076ef966166bededa211a2f,APPROVED,2023-06-12T12:16:56.691000Z,2023-06-12T12:45:51.943000Z,2023-06-12T13:45:34.652000,2023-06-12T12:45:52.407183Z,1736,CW7OPZDP,71,I only know English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64870cb78577c3486ad12c32,5b7afff9df1c980001674c0e,APPROVED,2023-06-12T12:17:00.298000Z,2023-06-12T12:44:23.402000Z,2023-06-12T12:45:39.446000,2023-06-12T12:44:23.895013Z,1644,CW7OPZDP,22,I only know English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64870cbb2769481e3c6fb04d,5c555247b7cf140001d35217,APPROVED,2023-06-12T12:20:30.272000Z,2023-06-12T12:48:58.527000Z,2023-06-12T13:45:50.127000,2023-06-12T12:48:59.008289Z,1709,CW7OPZDP,538,I only know English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
64870cd2e9ea8c9e102c52be,60f1b47ea7032dd3ca1e203d,APPROVED,2023-06-12T12:18:26.688000Z,2023-06-12T12:46:45.061000Z,2023-06-12T13:45:41.646000,2023-06-12T12:46:45.471723Z,1699,CW7OPZDP,46,I only know English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
64870d031fcf260e8986f9fd,5ea19c748809ad05af2d33d1,APPROVED,2023-06-12T12:18:16.093000Z,2023-06-12T13:06:48.614000Z,2023-06-12T13:45:38.243000,2023-06-12T13:06:49.469909Z,2913,CW7OPZDP,437,I only know English,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64870d371132814f11a88948,5efb04364cee780008501654,APPROVED,2023-06-12T12:20:05.481000Z,2023-06-12T12:50:18.267000Z,2023-06-12T13:45:45.701000,2023-06-12T12:50:22.920622Z,1813,CW7OPZDP,285,I only know English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64872c98214642b52e4eb12d,60743e408fd768b1a939ed4c,APPROVED,2023-06-12T14:32:59.440000Z,2023-06-12T15:03:09.214000Z,2023-06-12T15:17:34.105000,2023-06-12T15:03:38.987304Z,1810,CW7OPZDP,755,I only know English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
