Participant External Session ID,Display,Response,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
6487060bd4a971f11be9992a,,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,WelcomeScreens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,WelcomeScreens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,WelcomeScreens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,WelcomeScreens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,audio started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,audio started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,audio started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,audio started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,ExerciseTrials,pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,StartStudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,StartStudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_6_VOT_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,pier,BP_F0_6_VOT_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,Test_DT_F0_8_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,pier,Test_DT_F0_8_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_4_VOT_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,beer,BP_F0_4_VOT_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_5_VOT_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,pier,BP_F0_5_VOT_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_3_VOT_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,beer,BP_F0_3_VOT_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_4_VOT_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,beer,BP_F0_4_VOT_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_7_VOT_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,pier,BP_F0_7_VOT_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,Test_BP_F0_2_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,beer,Test_BP_F0_2_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,Test_BP_F0_5_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,pier,Test_BP_F0_5_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_5_VOT_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,beer,BP_F0_5_VOT_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,Test_DT_F0_2_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,pier,Test_DT_F0_2_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,Test_BP_F0_8_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,pier,Test_BP_F0_8_VOT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487060bd4a971f11be9992a,10,audio started,BP_F0_6_VOT_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
