"Participants","Display","Response","trials"
"6487072bc527b1c861c0e61e","10","beer","BPlow"
"6487072bc527b1c861c0e61e","10","tear","DThigh"
"6487072bc527b1c861c0e61e","10","pier","BPhigh"
"6487072bc527b1c861c0e61e","11","tear","DThigh"
"6487072bc527b1c861c0e61e","11","pier","BPhigh"
"6487072bc527b1c861c0e61e","11","beer","BPlow"
"6487072bc527b1c861c0e61e","11","deer","DTlow"
"6487072bc527b1c861c0e61e","12","tear","DThigh"
"6487072bc527b1c861c0e61e","12","deer","DTlow"
"6487072bc527b1c861c0e61e","12","beer","BPlow"
"6487072bc527b1c861c0e61e","12","pier","BPhigh"
"6487072bc527b1c861c0e61e","13","tear","DThigh"
"6487072bc527b1c861c0e61e","13","pier","BPhigh"
"6487072bc527b1c861c0e61e","13","tear","DTlow"
"6487072bc527b1c861c0e61e","13","beer","BPlow"
"6487072bc527b1c861c0e61e","14","tear","DThigh"
"6487072bc527b1c861c0e61e","14","beer","BPlow"
"6487072bc527b1c861c0e61e","14","deer","DTlow"
"6487072bc527b1c861c0e61e","14","pier","BPhigh"
"6487072bc527b1c861c0e61e","15","pier","BPhigh"
"6487072bc527b1c861c0e61e","15","beer","BPlow"
"6487072bc527b1c861c0e61e","15","tear","DThigh"
"6487072bc527b1c861c0e61e","15","deer","DTlow"
"6487072bc527b1c861c0e61e","16","pier","BPhigh"
"6487072bc527b1c861c0e61e","16","beer","BPlow"
"6487072bc527b1c861c0e61e","16","tear","DThigh"
"6487072bc527b1c861c0e61e","16","deer","DTlow"
"6487072bc527b1c861c0e61e","17","beer","BPlow"
"6487072bc527b1c861c0e61e","17","deer","DTlow"
"6487072bc527b1c861c0e61e","17","pier","BPhigh"
"6487072bc527b1c861c0e61e","17","tear","DThigh"
"6487072bc527b1c861c0e61e","18","beer","BPhigh"
"6487072bc527b1c861c0e61e","18","tear","DThigh"
"6487072bc527b1c861c0e61e","18","deer","DTlow"
"6487072bc527b1c861c0e61e","18","beer","BPlow"
"6487072bc527b1c861c0e61e","19","pier","BPhigh"
"6487072bc527b1c861c0e61e","19","beer","BPlow"
"6487072bc527b1c861c0e61e","19","tear","DThigh"
"6487072bc527b1c861c0e61e","19","deer","DTlow"
"6487072bc527b1c861c0e61e","20","tear","DThigh"
"6487072bc527b1c861c0e61e","20","beer","BPhigh"
"6487072bc527b1c861c0e61e","20","beer","BPlow"
"6487072bc527b1c861c0e61e","20","deer","DTlow"
"6487072bc527b1c861c0e61e","21","deer","DTlow"
